B_fighter,R_fighter,date,location,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,R_current_lose_streak,R_current_win_streak,B_total_rounds_fought,R_total_rounds_fought,B_wins,R_wins,B_Height_cms,R_Height_cms,B_Reach_cms,R_Reach_cms,B_Weight_lbs,R_Weight_lbs,B_age,R_age,elevation (ft),b_hot_or_not,r_hot_or_not,Winner_Blue,Winner_Red,title_bout_False,title_bout_True,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,weight_buckets_Heavy,weight_buckets_Light,weight_buckets_Middle
Saparbeg Safarov,Rodolfo Vieira,2020-03-07,"Las Vegas, Nevada, USA",Middleweight,3,0.0,1.0,0.0,1.0,6.0,2.0,1.0,1.0,185.42,182.88,198.12,185.42,205.0,185.0,33.0,30.0,2001,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Austin Hubbard,Mark Madsen,2020-03-07,"Las Vegas, Nevada, USA",Lightweight,3,0.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,177.8,172.72,180.34,182.88,155.0,155.0,28.0,35.0,2001,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Jose Quinonez,Sean O'Malley,2020-03-07,"Las Vegas, Nevada, USA",Bantamweight,3,0.0,1.0,0.0,2.0,18.0,6.0,5.0,2.0,172.72,180.34,175.26,182.88,135.0,135.0,29.0,25.0,2001,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
Max Griffin,Alex Oliveira,2020-03-07,"Las Vegas, Nevada, USA",Welterweight,3,1.0,0.0,3.0,0.0,22.0,36.0,3.0,9.0,180.34,180.34,193.04,193.04,170.0,170.0,34.0,32.0,2001,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Li Jingliang,Neil Magny,2020-03-07,"Las Vegas, Nevada, USA",Welterweight,3,0.0,3.0,1.0,0.0,29.0,52.0,9.0,14.0,182.88,190.5,180.34,203.2,170.0,170.0,31.0,32.0,2001,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Drakkar Klose,Beneil Dariush,2020-03-07,"Las Vegas, Nevada, USA",Lightweight,3,0.0,3.0,0.0,3.0,18.0,33.0,5.0,11.0,175.26,177.8,177.8,182.88,155.0,155.0,31.0,30.0,2001,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Yoel Romero,Israel Adesanya,2020-03-07,"Las Vegas, Nevada, USA",Middleweight,5,2.0,0.0,0.0,7.0,40.0,21.0,9.0,7.0,182.88,193.04,185.42,203.2,185.0,185.0,42.0,30.0,2001,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
Vince Morales,Chris Gutierrez,2020-05-30,"Las Vegas, Nevada, USA",Featherweight,3,1.0,0.0,0.0,2.0,9.0,8.0,1.0,2.0,170.18,175.26,177.8,170.18,145.0,145.0,29.0,29.0,2001,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Casey Kenney,Louis Smolka,2020-05-30,"Las Vegas, Nevada, USA",Bantamweight,3,1.0,0.0,0.0,1.0,9.0,30.0,2.0,7.0,170.18,177.8,172.72,185.42,135.0,135.0,29.0,28.0,2001,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
Brandon Royval,Tim Elliott,2020-05-30,"Las Vegas, Nevada, USA",Flyweight,3,0.0,0.0,2.0,0.0,0.0,31.0,0.0,4.0,175.26,170.18,172.72,167.64,125.0,125.0,27.0,33.0,2001,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Klidson Abreu,Jamahal Hill,2020-05-30,"Las Vegas, Nevada, USA",Light Heavyweight,3,1.0,0.0,0.0,1.0,9.0,3.0,1.0,1.0,182.88,193.04,187.96,200.66,205.0,205.0,27.0,29.0,2001,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Gabe Green,Daniel Rodriguez,2020-05-30,"Las Vegas, Nevada, USA",Welterweight,3,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,177.8,185.42,185.42,187.96,170.0,170.0,27.0,33.0,2001,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
Brok Weaver,Roosevelt Roberts,2020-05-30,"Las Vegas, Nevada, USA",Lightweight,3,0.0,1.0,0.0,1.0,1.0,10.0,1.0,3.0,182.88,187.96,185.42,185.42,155.0,155.0,28.0,26.0,2001,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Augusto Sakai,Blagoy Ivanov,2020-05-30,"Las Vegas, Nevada, USA",Heavyweight,3,0.0,3.0,1.0,0.0,7.0,14.0,3.0,2.0,190.5,180.34,195.58,185.42,265.0,250.0,29.0,33.0,2001,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Gilbert Burns,Tyron Woodley,2020-05-30,"Las Vegas, Nevada, USA",Welterweight,5,0.0,5.0,1.0,0.0,31.0,58.0,11.0,17.0,177.8,175.26,180.34,187.96,170.0,170.0,33.0,38.0,2001,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Devin Clark,Alonzo Menifield,2020-06-06,"Las Vegas, Nevada, USA",Light Heavyweight,3,0.0,1.0,0.0,2.0,21.0,2.0,5.0,2.0,182.88,182.88,190.5,193.04,205.0,205.0,30.0,32.0,2001,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
Alex Perez,Jussier Formiga,2020-06-06,"Las Vegas, Nevada, USA",Flyweight,3,0.0,2.0,2.0,0.0,11.0,37.0,5.0,9.0,167.64,165.1,165.1,170.18,125.0,125.0,28.0,35.0,2001,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Maki Pitolo,Charles Byrd,2020-06-06,"Las Vegas, Nevada, USA",Middleweight,3,1.0,0.0,2.0,0.0,3.0,4.0,0.0,1.0,177.8,177.8,190.5,185.42,170.0,185.0,29.0,36.0,2001,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
Brian Kelleher,Cody Stamann,2020-06-06,"Las Vegas, Nevada, USA",Featherweight,3,0.0,2.0,0.0,1.0,15.0,17.0,5.0,4.0,167.64,167.64,167.64,162.56,145.0,135.0,33.0,30.0,2001,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
Gerald Meerschaert,Ian Heinisch,2020-06-06,"Las Vegas, Nevada, USA",Middleweight,3,0.0,1.0,2.0,0.0,21.0,12.0,6.0,2.0,185.42,180.34,195.58,182.88,185.0,185.0,32.0,31.0,2001,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
Chase Hooper,Alex Caceres,2020-06-06,"Las Vegas, Nevada, USA",Featherweight,3,0.0,1.0,0.0,1.0,1.0,55.0,1.0,10.0,185.42,177.8,187.96,185.42,145.0,145.0,20.0,31.0,2001,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
Sean O'Malley,Eddie Wineland,2020-06-06,"Las Vegas, Nevada, USA",Bantamweight,3,0.0,3.0,0.0,1.0,7.0,47.0,3.0,11.0,180.34,170.18,182.88,175.26,135.0,135.0,25.0,35.0,2001,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
Anthony Rocco Martin,Neil Magny,2020-06-06,"Las Vegas, Nevada, USA",Welterweight,3,0.0,1.0,0.0,1.0,38.0,55.0,9.0,15.0,182.88,190.5,185.42,203.2,170.0,170.0,30.0,32.0,2001,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Cory Sandhagen,Aljamain Sterling,2020-06-06,"Las Vegas, Nevada, USA",Bantamweight,3,0.0,5.0,0.0,4.0,11.0,35.0,5.0,10.0,180.34,170.18,177.8,180.34,135.0,135.0,28.0,30.0,2001,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
Cody Garbrandt,Raphael Assuncao,2020-06-06,"Las Vegas, Nevada, USA",Bantamweight,3,3.0,0.0,2.0,0.0,18.0,54.0,6.0,14.0,172.72,165.1,165.1,167.64,135.0,135.0,28.0,37.0,2001,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Christian Aguilera,Anthony Ivy,2020-06-13,"Las Vegas, Nevada, USA",Welterweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.26,187.96,182.88,187.96,170.0,185.0,28.0,30.0,2001,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
Zarrukh Adashev,Tyson Nam,2020-06-13,"Las Vegas, Nevada, USA",Bantamweight,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,165.1,170.18,165.1,172.72,125.0,125.0,27.0,36.0,2001,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
Mark De La Rosa,Jordan Espinosa,2020-06-13,"Las Vegas, Nevada, USA",Bantamweight,3,3.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,167.64,167.64,165.1,175.26,135.0,125.0,25.0,30.0,2001,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Charles Jourdain,Andre Fili,2020-06-13,"Las Vegas, Nevada, USA",Featherweight,3,0.0,1.0,1.0,0.0,0.0,12.0,1.0,8.0,175.26,180.34,175.26,187.96,145.0,145.0,24.0,29.0,2001,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
Kevin Aguilar,Charles Rosa,2020-06-13,"Las Vegas, Nevada, USA",Lightweight,3,2.0,0.0,1.0,0.0,2.0,15.0,2.0,3.0,170.18,175.26,185.42,175.26,155.0,145.0,31.0,33.0,2001,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
Marvin Vettori,Karl Roberson,2020-06-13,"Las Vegas, Nevada, USA",Middleweight,3,0.0,2.0,0.0,2.0,8.0,7.0,4.0,4.0,182.88,185.42,187.96,187.96,185.0,185.0,26.0,29.0,2001,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
Max Rohskopf,Austin Hubbard,2020-06-20,"Las Vegas, Nevada, USA",Lightweight,3,0.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,185.42,177.8,187.96,180.34,155.0,155.0,25.0,28.0,2001,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Justin Jaynes,Frank Camacho,2020-06-20,"Las Vegas, Nevada, USA",Lightweight,3,0.0,0.0,1.0,0.0,0.0,14.0,0.0,2.0,170.18,177.8,170.18,185.42,155.0,170.0,30.0,31.0,2001,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Oskar Piechota,Marc-Andre Barriault,2020-06-20,"Las Vegas, Nevada, USA",Middleweight,3,3.0,0.0,3.0,0.0,9.0,9.0,2.0,0.0,182.88,185.42,193.04,187.96,185.0,185.0,30.0,30.0,2001,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
Bobby Green,Clay Guida,2020-06-20,"Las Vegas, Nevada, USA",Lightweight,3,2.0,0.0,1.0,0.0,44.0,84.0,9.0,17.0,177.8,170.18,180.34,177.8,155.0,155.0,33.0,38.0,2001,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Lyman Good,Belal Muhammad,2020-06-20,"Las Vegas, Nevada, USA",Welterweight,3,0.0,1.0,0.0,2.0,10.0,28.0,3.0,7.0,182.88,180.34,187.96,182.88,170.0,170.0,35.0,31.0,2001,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Shane Burgos,Josh Emmett,2020-06-20,"Las Vegas, Nevada, USA",Featherweight,3,0.0,3.0,0.0,2.0,19.0,19.0,6.0,6.0,180.34,167.64,190.5,177.8,145.0,145.0,29.0,35.0,2001,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Alexander Volkov,Curtis Blaydes,2020-06-20,"Las Vegas, Nevada, USA",Heavyweight,5,0.0,1.0,0.0,3.0,19.0,25.0,5.0,8.0,200.66,193.04,203.2,203.2,250.0,265.0,31.0,29.0,2001,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Youssef Zalal,Jordan Griffin,2020-06-27,"Las Vegas, Nevada, USA",Featherweight,3,0.0,1.0,0.0,1.0,3.0,8.0,1.0,1.0,177.8,177.8,182.88,185.42,145.0,145.0,23.0,30.0,2001,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
Jason Witt,Takashi Sato,2020-06-27,"Las Vegas, Nevada, USA",Welterweight,3,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,177.8,177.8,177.8,185.42,170.0,170.0,33.0,30.0,2001,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Tanner Boser,Philipe Lins,2020-06-27,"Las Vegas, Nevada, USA",Heavyweight,3,1.0,0.0,1.0,0.0,6.0,3.0,1.0,0.0,187.96,187.96,190.5,198.12,255.0,240.0,28.0,34.0,2001,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
Khama Worthy,Luis Pena,2020-06-27,"Las Vegas, Nevada, USA",Lightweight,3,0.0,1.0,0.0,1.0,1.0,16.0,1.0,4.0,180.34,190.5,187.96,190.5,155.0,155.0,33.0,26.0,2001,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
Maurice Greene,Gian Villante,2020-06-27,"Las Vegas, Nevada, USA",Heavyweight,3,2.0,0.0,1.0,0.0,8.0,49.0,3.0,10.0,200.66,190.5,203.2,193.04,258.0,205.0,33.0,34.0,2001,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
Kyle Daukaus,Brendan Allen,2020-06-27,"Las Vegas, Nevada, USA",Middleweight,3,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,190.5,187.96,193.04,190.5,185.0,185.0,27.0,24.0,2001,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
Mickey Gall,Mike Perry,2020-06-27,"Las Vegas, Nevada, USA",Welterweight,3,0.0,1.0,2.0,0.0,13.0,27.0,5.0,6.0,187.96,177.8,187.96,180.34,170.0,170.0,28.0,28.0,2001,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
Dan Hooker,Dustin Poirier,2020-06-27,"Las Vegas, Nevada, USA",Lightweight,5,0.0,3.0,1.0,0.0,32.0,57.0,10.0,18.0,182.88,175.26,190.5,182.88,155.0,155.0,30.0,31.0,2001,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
BJ Penn,Jens Pulver,2002-01-11,"Uncasville, Connecticut, USA",Lightweight,5,0.0,3.0,0.0,5.0,3.0,18.0,3.0,5.0,175.26,170.18,177.8,177.8,155.0,145.0,23.0,27.0,1099,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
Matt Serra,BJ Penn,2002-09-27,"Uncasville, Connecticut, USA",Lightweight,3,0.0,2.0,0.0,1.0,7.0,10.0,2.0,4.0,167.64,175.26,172.72,177.8,170.0,155.0,28.0,23.0,1099,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Chris Lytle,Robbie Lawler,2003-11-21,"Uncasville, Connecticut, USA",Welterweight,3,1.0,0.0,1.0,0.0,2.0,8.0,0.0,3.0,180.34,180.34,172.72,187.96,170.0,170.0,29.0,21.0,1099,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Phil Baroni,Evan Tanner,2003-11-21,"Uncasville, Connecticut, USA",Middleweight,3,1.0,0.0,1.0,0.0,10.0,11.0,3.0,6.0,175.26,182.88,182.88,187.96,170.0,185.0,27.0,32.0,1099,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Frank Trigg,Matt Hughes,2003-11-21,"Uncasville, Connecticut, USA",Welterweight,5,0.0,0.0,0.0,5.0,0.0,21.0,0.0,7.0,175.26,175.26,180.34,185.42,170.0,170.0,31.0,30.0,1099,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
Dennis Hallman,Jorge Rivera,2005-10-07,"Uncasville, Connecticut, USA",Middleweight,3,2.0,0.0,2.0,0.0,7.0,7.0,1.0,1.0,175.26,185.42,182.88,185.42,155.0,185.0,29.0,33.0,1099,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Chris Lytle,Joe Riggs,2005-10-07,"Uncasville, Connecticut, USA",Welterweight,3,1.0,0.0,1.0,0.0,12.0,3.0,2.0,1.0,180.34,182.88,172.72,177.8,170.0,185.0,31.0,23.0,1099,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Chael Sonnen,Renato Sobral,2005-10-07,"Uncasville, Connecticut, USA",Light Heavyweight,3,0.0,0.0,0.0,1.0,0.0,12.0,0.0,3.0,185.42,185.42,187.96,190.5,205.0,205.0,28.0,30.0,1099,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
Elvis Sinosic,Forrest Griffin,2005-10-07,"Uncasville, Connecticut, USA",Light Heavyweight,3,3.0,0.0,0.0,2.0,6.0,4.0,1.0,2.0,190.5,190.5,195.58,195.58,205.0,205.0,34.0,26.0,1099,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Paul Buentello,Andrei Arlovski,2005-10-07,"Uncasville, Connecticut, USA",Heavyweight,5,0.0,2.0,0.0,5.0,2.0,13.0,2.0,6.0,187.96,190.5,195.58,195.58,245.0,240.0,31.0,26.0,1099,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
Aaron Riley,Robbie Lawler,2002-05-10,"Bossier City, Louisiana, USA",Welterweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.72,180.34,175.26,187.96,155.0,170.0,21.0,20.0,174,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
Yves Edwards,Caol Uno,2002-05-10,"Bossier City, Louisiana, USA",Lightweight,3,1.0,0.0,1.0,0.0,3.0,7.0,0.0,1.0,175.26,170.18,185.42,177.8,155.0,155.0,25.0,27.0,174,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
Elvis Sinosic,Renato Sobral,2002-07-13,"London, England, United Kingdom",Light Heavyweight,3,2.0,0.0,1.0,0.0,3.0,6.0,1.0,1.0,190.5,185.42,195.58,190.5,205.0,205.0,31.0,26.0,36,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Naoyuki Kotani,Dennis Siver,2007-09-08,"London, England, United Kingdom",Lightweight,3,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,172.72,167.64,167.64,177.8,155.0,145.0,25.0,28.0,36,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Tomasz Drwal,Thiago Silva,2007-09-08,"London, England, United Kingdom",Light Heavyweight,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,185.42,187.96,193.04,187.96,205.0,205.0,25.0,24.0,36,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Terry Etim,Gleison Tibau,2007-09-08,"London, England, United Kingdom",Lightweight,3,0.0,1.0,0.0,2.0,1.0,6.0,1.0,2.0,185.42,177.8,185.42,180.34,155.0,155.0,21.0,23.0,36,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Alessio Sakara,Houston Alexander,2007-09-08,"London, England, United Kingdom",Light Heavyweight,3,0.0,1.0,0.0,1.0,8.0,1.0,2.0,1.0,182.88,182.88,182.88,182.88,185.0,205.0,26.0,35.0,36,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Paul Taylor,Marcus Davis,2007-09-08,"London, England, United Kingdom",Welterweight,3,0.0,1.0,0.0,4.0,3.0,9.0,1.0,4.0,182.88,177.8,182.88,177.8,155.0,170.0,27.0,34.0,36,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Mirko Cro Cop,Cheick Kongo,2007-09-08,"London, England, United Kingdom",Heavyweight,3,1.0,0.0,0.0,1.0,2.0,8.0,1.0,3.0,187.96,193.04,185.42,208.28,230.0,240.0,32.0,32.0,36,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
Matt Hamill,Michael Bisping,2007-09-08,"London, England, United Kingdom",Light Heavyweight,3,0.0,3.0,0.0,3.0,5.0,5.0,3.0,3.0,185.42,185.42,193.04,190.5,205.0,185.0,30.0,28.0,36,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Dan Henderson,Rampage Jackson,2007-09-08,"London, England, United Kingdom",Light Heavyweight,5,0.0,2.0,0.0,2.0,4.0,3.0,2.0,2.0,180.34,185.42,187.96,185.42,185.0,205.0,37.0,29.0,36,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
Eddie Sanchez,Antoni Hardonk,2008-06-07,"London, England, United Kingdom",Heavyweight,3,0.0,2.0,0.0,1.0,8.0,6.0,3.0,2.0,187.96,193.04,187.96,198.12,230.0,245.0,25.0,32.0,36,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Jason Lambert,Luiz Cane,2008-06-07,"London, England, United Kingdom",Light Heavyweight,3,1.0,0.0,1.0,0.0,10.0,1.0,4.0,0.0,190.5,187.96,190.5,195.58,185.0,185.0,33.0,27.0,36,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Roan Carneiro,Kevin Burns,2008-06-07,"London, England, United Kingdom",Welterweight,3,0.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,180.34,177.8,187.96,187.96,170.0,170.0,30.0,28.0,36,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Thiago Tavares,Matt Wiman,2008-06-07,"London, England, United Kingdom",Lightweight,3,0.0,1.0,0.0,3.0,11.0,7.0,3.0,3.0,170.18,177.8,172.72,172.72,145.0,155.0,23.0,24.0,36,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Jorge Rivera,Martin Kampmann,2008-06-07,"London, England, United Kingdom",Middleweight,3,0.0,1.0,0.0,3.0,14.0,5.0,4.0,3.0,185.42,182.88,185.42,182.88,185.0,170.0,36.0,26.0,36,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Brandon Vera,Fabricio Werdum,2008-06-07,"London, England, United Kingdom",Heavyweight,3,1.0,0.0,0.0,1.0,8.0,5.0,4.0,1.0,190.5,193.04,193.04,195.58,230.0,231.0,30.0,30.0,36,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Nate Marquardt,Thales Leites,2008-06-07,"London, England, United Kingdom",Middleweight,3,0.0,1.0,0.0,3.0,14.0,8.0,5.0,3.0,182.88,185.42,187.96,198.12,185.0,185.0,29.0,26.0,36,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Marcus Davis,Mike Swick,2008-06-07,"London, England, United Kingdom",Welterweight,3,0.0,6.0,0.0,1.0,11.0,13.0,6.0,6.0,177.8,185.42,177.8,195.58,170.0,170.0,34.0,28.0,36,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Jason Day,Michael Bisping,2008-06-07,"London, England, United Kingdom",Middleweight,3,0.0,1.0,0.0,1.0,1.0,12.0,1.0,5.0,182.88,185.42,182.88,190.5,185.0,185.0,27.0,29.0,36,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Matt Hughes,Thiago Alves,2008-06-07,"London, England, United Kingdom",Welterweight,3,1.0,0.0,0.0,5.0,40.0,17.0,15.0,7.0,175.26,175.26,185.42,177.8,170.0,170.0,34.0,24.0,36,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
Stefan Struve,Junior Dos Santos,2009-02-21,"London, England, United Kingdom",Heavyweight,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,210.82,193.04,213.36,195.58,265.0,238.0,21.0,25.0,36,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Josh Koscheck,Paulo Thiago,2009-02-21,"London, England, United Kingdom",Welterweight,3,0.0,1.0,0.0,0.0,28.0,0.0,10.0,0.0,177.8,180.34,185.42,185.42,170.0,170.0,31.0,28.0,36,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Chael Sonnen,Demian Maia,2009-02-21,"London, England, United Kingdom",Middleweight,3,1.0,0.0,0.0,4.0,7.0,7.0,1.0,4.0,185.42,185.42,187.96,182.88,205.0,170.0,31.0,31.0,36,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
Wilson Gouveia,Nate Marquardt,2009-02-21,"London, England, United Kingdom",Middleweight,3,0.0,2.0,0.0,1.0,14.0,18.0,6.0,6.0,185.42,182.88,193.04,187.96,185.0,185.0,30.0,29.0,36,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Rory Markham,Dan Hardy,2009-02-21,"London, England, United Kingdom",Welterweight,3,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,182.88,182.88,180.34,187.96,170.0,170.0,26.0,26.0,36,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Joe Stevenson,Diego Sanchez,2009-02-21,"London, England, United Kingdom",Lightweight,3,1.0,0.0,0.0,2.0,18.0,23.0,6.0,8.0,170.18,177.8,177.8,182.88,145.0,170.0,26.0,27.0,36,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Fabio Maldonado,James McSweeney,2010-10-16,"London, England, United Kingdom",Light Heavyweight,3,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,185.42,193.04,190.5,195.58,205.0,230.0,30.0,29.0,36,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
Alexander Gustafsson,Cyrille Diabate,2010-10-16,"London, England, United Kingdom",Light Heavyweight,3,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,195.58,198.12,200.66,205.74,205.0,205.0,23.0,37.0,36,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Claude Patrick,James Wilks,2010-10-16,"London, England, United Kingdom",Welterweight,3,0.0,1.0,0.0,1.0,2.0,7.0,1.0,2.0,180.34,185.42,190.5,190.5,170.0,170.0,30.0,32.0,36,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Mike Pyle,John Hathaway,2010-10-16,"London, England, United Kingdom",Welterweight,3,0.0,1.0,0.0,4.0,9.0,10.0,2.0,4.0,182.88,185.42,187.96,190.5,170.0,170.0,35.0,23.0,36,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Carlos Condit,Dan Hardy,2010-10-16,"London, England, United Kingdom",Welterweight,3,0.0,2.0,1.0,0.0,9.0,15.0,2.0,4.0,187.96,182.88,190.5,187.96,170.0,170.0,26.0,28.0,36,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Yoshihiro Akiyama,Michael Bisping,2010-10-16,"London, England, United Kingdom",Middleweight,3,1.0,0.0,0.0,1.0,6.0,26.0,1.0,9.0,177.8,185.42,185.42,190.5,170.0,185.0,35.0,31.0,36,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Ulysses Gomez,Phil Harris,2013-02-16,"London, England, United Kingdom",Flyweight,3,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,167.64,162.56,167.64,162.56,125.0,125.0,29.0,29.0,36,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Motonobu Tezuka,Vaughan Lee,2013-02-16,"London, England, United Kingdom",Bantamweight,3,1.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,170.18,167.64,167.64,167.64,135.0,125.0,25.0,30.0,36,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
Stanislav Nedkov,Tom Watson,2013-02-16,"London, England, United Kingdom",Middleweight,3,1.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,180.34,185.42,180.34,185.42,205.0,185.0,31.0,30.0,36,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
