R_BMI,B_BMI,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_wins,R_avg_SIG_STR_pct,B_avg_TD_pct,B_age,B_avg_SIG_STR_landed,R_losses,R_win_by_Submission,R_draw,R_avg_TD_pct,R_longest_win_streak,B_win_by_TKO_Doctor_Stoppage,R_Weight_lbs,R_total_title_bouts,R_win_by_Decision_Unanimous,R_win_by_Decision_Split,B_avg_TD_landed,R_current_win_streak,R_avg_TD_landed,B_total_rounds_fought,R_win_by_Decision_Majority,no_of_rounds,R_age,R_avg_SUB_ATT,B_total_title_bouts,B_win_by_Decision_Split,B_losses,R_current_lose_streak,R_Height_cms,B_Reach_cms,B_avg_SIG_STR_pct,R_total_rounds_fought,B_draw,R_avg_SIG_STR_landed,R_win_by_KO/TKO,R_Reach_cms,B_win_by_Submission,B_longest_win_streak,B_win_by_Decision_Majority,B_current_win_streak,B_Height_cms,B_avg_SUB_ATT,R_win_by_TKO_Doctor_Stoppage,B_current_lose_streak,B_Weight_lbs,R_wins,Winner_Blue,title_bout_False,title_bout_True,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,elevation (ft),B_hot_or_not,R_hot_or_not,weight_class_Bantamweight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Welterweight
19.665356922469254,19.665356922469254,0.0,1.0,2.0,0.66,0.0,25.0,20.33333333333333,0.0,0.0,0.0,0.0,1.0,0.0,155.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,25.0,0.0,0.0,0.0,1.0,0.0,182.88,182.88,0.41,1.0,0.0,20.0,1.0,180.34,1.0,2.0,0.0,2.0,182.88,0.3333333333333333,0.0,0.0,145.0,1.0,0,1,0,0,0,1,0,0,0,1,0,7.0,1.0,1.0,0,1,0,0,0,0,0,0
22.464971864714762,23.91395971993446,1.0,3.0,4.0,0.27,0.16666666666666666,24.0,48.16666666666666,1.0,0.0,0.0,0.8200000000000001,1.0,0.0,125.0,0.0,0.0,1.0,0.3333333333333333,0.0,6.0,13.0,0.0,3.0,28.0,0.0,0.0,0.0,2.0,1.0,165.1,170.18,0.4266666666666667,6.0,0.0,43.5,0.0,165.1,0.0,4.0,0.0,0.0,160.02,0.3333333333333333,0.0,1.0,135.0,1.0,0,1,0,0,1,0,0,0,1,0,0,7.0,0.0,0.0,0,0,1,0,0,0,0,0
22.239982539539046,23.567455545791805,1.0,1.0,3.0,0.3433333333333333,0.11800000000000002,32.0,26.6,1.0,0.0,0.0,0.0,1.0,0.0,155.0,0.0,1.0,0.0,1.4,1.0,0.0,9.0,0.0,3.0,28.0,1.6666666666666667,0.0,1.0,2.0,0.0,177.8,177.8,0.4880000000000001,7.0,0.0,32.666666666666664,1.0,182.88,0.0,1.0,0.0,1.0,172.72,0.0,0.0,0.0,155.0,2.0,1,1,0,0,1,0,0,0,0,1,0,7.0,1.0,1.0,0,0,0,0,0,1,0,0
24.39223891433315,25.104383675747204,4.0,2.0,9.0,0.4,0.5646666666666668,29.0,42.266666666666666,1.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,2.333333333333333,0.0,0.0,39.0,0.0,3.0,25.0,1.0,0.0,2.0,6.0,1.0,177.8,180.34,0.402,3.0,0.0,33.0,0.0,177.8,1.0,6.0,0.0,0.0,175.26,0.8666666666666667,0.0,1.0,170.0,0.0,0,1,0,0,1,0,0,0,0,1,0,7.0,0.0,0.0,0,0,0,0,0,0,0,1
22.239982539539046,21.61791597773087,1.0,4.0,7.0,0.37333333333333335,0.2222222222222222,28.0,38.66666666666666,5.0,1.0,0.0,0.35000000000000003,4.0,0.0,155.0,0.0,1.0,3.0,0.4444444444444444,0.0,1.3333333333333333,20.0,0.0,3.0,32.0,1.0,0.0,1.0,2.0,2.0,177.8,190.5,0.4633333333333333,30.0,0.0,58.41666666666666,1.0,177.8,0.0,4.0,1.0,0.0,180.34,0.1111111111111111,1.0,1.0,155.0,7.0,0,1,0,0,0,1,0,0,1,0,0,7.0,0.0,0.0,0,0,0,0,0,1,0,0
23.567455545791805,20.4495992575983,3.0,3.0,10.0,0.3347058823529412,0.3192307692307693,31.0,40.769230769230774,4.0,6.0,0.0,0.4923529411764706,7.0,0.0,155.0,0.0,5.0,0.0,0.8461538461538461,2.0,1.3529411764705883,25.0,0.0,5.0,30.0,1.8235294117647056,0.0,0.0,3.0,0.0,172.72,185.42,0.4753846153846154,39.0,0.0,26.0,2.0,180.34,4.0,4.0,0.0,3.0,185.42,0.38461538461538464,0.0,0.0,155.0,13.0,0,1,0,0,0,1,0,0,1,0,0,7.0,1.0,1.0,0,0,0,0,0,1,0,0
23.709972362672566,23.05593570220533,2.0,0.0,4.0,0.36375,0.31000000000000005,28.0,30.5,5.0,2.0,0.0,0.54125,1.0,0.0,170.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0,0.0,3.0,33.0,0.5,0.0,0.0,4.0,0.0,180.34,185.42,0.375,23.0,0.0,30.375,0.0,185.42,2.0,3.0,0.0,0.0,182.88,0.875,0.0,1.0,170.0,3.0,0,1,0,0,0,1,0,0,1,0,0,7.0,0.0,1.0,0,0,0,0,0,0,0,1
26.320203658152845,25.62301070791911,4.0,2.0,6.0,0.504,0.508,28.0,53.6,4.0,0.0,0.0,0.363,3.0,0.0,205.0,0.0,3.0,1.0,3.3,2.0,3.4,25.0,0.0,3.0,37.0,0.1,1.0,0.0,4.0,0.0,187.96,200.66,0.479,22.0,0.0,44.2,2.0,193.04,0.0,3.0,0.0,0.0,190.5,0.0,0.0,2.0,205.0,6.0,0,1,0,0,1,0,0,0,1,0,0,7.0,0.0,1.0,0,0,0,0,1,0,0,0
23.05593570220533,23.709972362672566,0.0,2.0,3.0,0.4666666666666666,0.3,34.0,35.8,2.0,1.0,0.0,0.08333333333333333,1.0,0.0,170.0,0.0,0.0,0.0,0.8,1.0,0.3333333333333333,12.0,0.0,3.0,24.0,0.3333333333333333,0.0,0.0,2.0,0.0,182.88,185.42,0.4879999999999999,8.0,0.0,60.66666666666666,0.0,190.5,1.0,2.0,0.0,2.0,180.34,0.4,0.0,0.0,170.0,1.0,0,1,0,0,1,0,0,0,1,0,0,7.0,1.0,1.0,0,0,0,0,0,0,0,1
25.104383675747204,22.428592734140075,6.0,0.0,6.0,0.335,0.33,34.0,46.0,3.0,1.0,0.0,0.435,2.0,0.0,170.0,0.0,1.0,1.0,2.5,1.0,2.875,25.0,0.0,3.0,30.0,0.125,0.0,0.0,2.0,0.0,175.26,187.96,0.3875,19.0,0.0,21.75,2.0,182.88,0.0,4.0,0.0,0.0,185.42,0.25,0.0,1.0,170.0,5.0,0,1,0,0,1,0,0,0,0,1,0,7.0,0.0,1.0,0,0,0,0,0,0,0,1
